0: Process 0 arrived.
50: Process 1 arrived.
100: Process 2 arrived.
150: Process 3 arrived.
200: Process 4 arrived.
250: Process 5 arrived.
300: Process 6 arrived.
350: Process 7 arrived.
400: Process 8 arrived.
450: Process 9 arrived.
500: Process 10 arrived.
550: Process 11 arrived.
600: Process 12 arrived.
650: Process 13 arrived.
700: Process 14 arrived.
750: Process 15 arrived.
800: Process 16 arrived.
850: Process 17 arrived.
900: Process 18 arrived.
950: Process 19 arrived.
1000: Process 20 arrived.
1050: Process 21 arrived.
1100: Process 22 arrived.
1150: Process 23 arrived.
1200: Process 24 arrived.
1250: Process 25 arrived.
1300: Process 26 arrived.
1350: Process 27 arrived.
1400: Process 28 arrived.
1450: Process 29 arrived.
1500: Process 30 arrived.
1550: Process 31 arrived.
1600: Process 32 arrived.
1650: Process 33 arrived.
1700: Process 34 arrived.
1750: Process 35 arrived.
1800: Process 36 arrived.
1850: Process 37 arrived.
1900: Process 38 arrived.
1950: Process 39 arrived.
2000: Process 40 arrived.
2050: Process 41 arrived.
2100: Process 42 arrived.
2150: Process 43 arrived.
2200: Process 44 arrived.
2250: Process 45 arrived.
2300: Process 46 arrived.
2350: Process 47 arrived.
2400: Process 48 arrived.
2450: Process 49 arrived.
3279: Process 0 fully executed.
5658: Process 1 fully executed.
7698: Process 3 fully executed.
7742: Process 4 fully executed.
10006: Process 5 fully executed.
10415: Process 2 fully executed.
11032: Process 8 fully executed.
11710: Process 7 fully executed.
12067: Process 10 fully executed.
14055: Process 11 fully executed.
17756: Process 13 fully executed.
18431: Process 6 fully executed.
20362: Process 14 fully executed.
21356: Process 9 fully executed.
22118: Process 16 fully executed.
23053: Process 12 fully executed.
23969: Process 18 fully executed.
24780: Process 19 fully executed.
25377: Process 17 fully executed.
28241: Process 15 fully executed.
29929: Process 20 fully executed.
30670: Process 21 fully executed.
32125: Process 23 fully executed.
34627: Process 26 fully executed.
34685: Process 22 fully executed.
35069: Process 24 fully executed.
35591: Process 25 fully executed.
35708: Process 28 fully executed.
36608: Process 27 fully executed.
39944: Process 30 fully executed.
41477: Process 31 fully executed.
41936: Process 29 fully executed.
43406: Process 32 fully executed.
43885: Process 35 fully executed.
45818: Process 34 fully executed.
46272: Process 37 fully executed.
46697: Process 33 fully executed.
48489: Process 36 fully executed.
49048: Process 39 fully executed.
50981: Process 41 fully executed.
53737: Process 38 fully executed.
54682: Process 40 fully executed.
57094: Process 44 fully executed.
58516: Process 46 fully executed.
58580: Process 45 fully executed.
58859: Process 42 fully executed.
59819: Process 43 fully executed.
60221: Process 48 fully executed.
64130: Process 47 fully executed.
67070: Process 49 fully executed.
