0: Process 0 arrived.
50: Process 1 arrived.
100: Process 2 arrived.
150: Process 3 arrived.
200: Process 4 arrived.
250: Process 5 arrived.
300: Process 6 arrived.
350: Process 7 arrived.
400: Process 8 arrived.
450: Process 9 arrived.
500: Process 10 arrived.
550: Process 11 arrived.
600: Process 12 arrived.
650: Process 13 arrived.
700: Process 14 arrived.
750: Process 15 arrived.
800: Process 16 arrived.
850: Process 17 arrived.
900: Process 18 arrived.
950: Process 19 arrived.
1000: Process 20 arrived.
1050: Process 21 arrived.
1100: Process 22 arrived.
1150: Process 23 arrived.
1200: Process 24 arrived.
1250: Process 25 arrived.
1300: Process 26 arrived.
1350: Process 27 arrived.
1400: Process 28 arrived.
1450: Process 29 arrived.
1500: Process 30 arrived.
1550: Process 31 arrived.
1600: Process 32 arrived.
1650: Process 33 arrived.
1700: Process 34 arrived.
1750: Process 35 arrived.
1800: Process 36 arrived.
1850: Process 37 arrived.
1900: Process 38 arrived.
1950: Process 39 arrived.
2000: Process 40 arrived.
2050: Process 41 arrived.
2100: Process 42 arrived.
2150: Process 43 arrived.
2200: Process 44 arrived.
2250: Process 45 arrived.
2300: Process 46 arrived.
2350: Process 47 arrived.
2400: Process 48 arrived.
2450: Process 49 arrived.
4995: Process 0 fully executed.
5005: Process 4 entered processor.
6130: Process 1 fully executed.
6140: Process 5 entered processor.
6945: Process 4 fully executed.
6955: Process 6 entered processor.
7458: Process 3 fully executed.
7468: Process 7 entered processor.
7717: Process 2 fully executed.
7727: Process 8 entered processor.
9404: Process 7 fully executed.
9414: Process 9 entered processor.
10024: Process 5 fully executed.
10034: Process 10 entered processor.
10703: Process 8 fully executed.
10713: Process 11 entered processor.
11943: Process 11 fully executed.
11953: Process 12 entered processor.
13236: Process 10 fully executed.
13246: Process 13 entered processor.
14374: Process 6 fully executed.
14384: Process 14 entered processor.
15046: Process 9 fully executed.
15056: Process 15 entered processor.
20233: Process 13 fully executed.
20243: Process 16 entered processor.
21103: Process 15 fully executed.
21113: Process 17 entered processor.
21206: Process 14 fully executed.
21216: Process 18 entered processor.
21742: Process 12 fully executed.
21752: Process 19 entered processor.
23115: Process 16 fully executed.
23125: Process 20 entered processor.
25403: Process 20 fully executed.
25413: Process 21 entered processor.
25400: Process 17 fully executed.
25410: Process 22 entered processor.
27331: Process 19 fully executed.
27341: Process 23 entered processor.
27973: Process 18 fully executed.
27983: Process 24 entered processor.
28926: Process 23 fully executed.
28936: Process 25 entered processor.
29284: Process 22 fully executed.
29294: Process 26 entered processor.
31429: Process 26 fully executed.
31439: Process 27 entered processor.
32421: Process 21 fully executed.
32431: Process 28 entered processor.
35628: Process 27 fully executed.
35638: Process 29 entered processor.
35909: Process 24 fully executed.
35919: Process 30 entered processor.
37331: Process 29 fully executed.
37341: Process 31 entered processor.
37480: Process 25 fully executed.
37490: Process 32 entered processor.
41417: Process 30 fully executed.
41427: Process 33 entered processor.
43201: Process 28 fully executed.
43211: Process 34 entered processor.
43519: Process 31 fully executed.
43529: Process 35 entered processor.
45763: Process 33 fully executed.
45773: Process 36 entered processor.
47383: Process 32 fully executed.
47393: Process 37 entered processor.
47727: Process 35 fully executed.
47737: Process 38 entered processor.
47950: Process 34 fully executed.
47960: Process 39 entered processor.
49172: Process 39 fully executed.
49182: Process 40 entered processor.
51371: Process 36 fully executed.
51381: Process 41 entered processor.
52750: Process 37 fully executed.
52760: Process 42 entered processor.
54178: Process 40 fully executed.
54188: Process 43 entered processor.
54307: Process 38 fully executed.
54317: Process 44 entered processor.
58081: Process 44 fully executed.
58091: Process 45 entered processor.
59581: Process 42 fully executed.
59591: Process 46 entered processor.
60228: Process 43 fully executed.
60238: Process 47 entered processor.
60424: Process 41 fully executed.
60434: Process 48 entered processor.
62311: Process 47 fully executed.
62321: Process 49 entered processor.
63908: Process 45 fully executed.
63908: Process 49 entered processor.
64029: Process 48 fully executed.
64029: Process 49 entered processor.
68807: Process 49 fully executed.
68807: Process 46 entered processor.
70515: Process 49 fully executed.
70515: Process 46 entered processor.
