0: Process 0 arrived.
50: Process 1 arrived.
100: Process 2 arrived.
150: Process 3 arrived.
200: Process 4 arrived.
250: Process 5 arrived.
300: Process 6 arrived.
350: Process 7 arrived.
400: Process 8 arrived.
450: Process 9 arrived.
500: Process 10 arrived.
550: Process 11 arrived.
600: Process 12 arrived.
650: Process 13 arrived.
700: Process 14 arrived.
750: Process 15 arrived.
800: Process 16 arrived.
850: Process 17 arrived.
900: Process 18 arrived.
950: Process 19 arrived.
1000: Process 20 arrived.
1050: Process 21 arrived.
1100: Process 22 arrived.
1150: Process 23 arrived.
1200: Process 24 arrived.
1250: Process 25 arrived.
1300: Process 26 arrived.
1350: Process 27 arrived.
1400: Process 28 arrived.
1450: Process 29 arrived.
1500: Process 30 arrived.
1550: Process 31 arrived.
1600: Process 32 arrived.
1650: Process 33 arrived.
1700: Process 34 arrived.
1750: Process 35 arrived.
1800: Process 36 arrived.
1850: Process 37 arrived.
1900: Process 38 arrived.
1950: Process 39 arrived.
2000: Process 40 arrived.
2050: Process 41 arrived.
2100: Process 42 arrived.
2150: Process 43 arrived.
2200: Process 44 arrived.
2250: Process 45 arrived.
2300: Process 46 arrived.
2350: Process 47 arrived.
2400: Process 48 arrived.
2450: Process 49 arrived.
4995: Process 0 fully executed.
5005: Process 1 entered processor.
11085: Process 1 fully executed.
11095: Process 2 entered processor.
18712: Process 2 fully executed.
18722: Process 3 entered processor.
26030: Process 3 fully executed.
26040: Process 4 entered processor.
27980: Process 4 fully executed.
27990: Process 5 entered processor.
31874: Process 5 fully executed.
31884: Process 6 entered processor.
39303: Process 6 fully executed.
39313: Process 7 entered processor.
41249: Process 7 fully executed.
41259: Process 8 entered processor.
44235: Process 8 fully executed.
44245: Process 9 entered processor.
49877: Process 9 fully executed.
49887: Process 10 entered processor.
53089: Process 10 fully executed.
53099: Process 11 entered processor.
54329: Process 11 fully executed.
54339: Process 12 entered processor.
64128: Process 12 fully executed.
64138: Process 13 entered processor.
71125: Process 13 fully executed.
71135: Process 14 entered processor.
77957: Process 14 fully executed.
77967: Process 15 entered processor.
84014: Process 15 fully executed.
84024: Process 16 entered processor.
86896: Process 16 fully executed.
86906: Process 17 entered processor.
91193: Process 17 fully executed.
91203: Process 18 entered processor.
97960: Process 18 fully executed.
97970: Process 19 entered processor.
103549: Process 19 fully executed.
103559: Process 20 entered processor.
105837: Process 20 fully executed.
105847: Process 21 entered processor.
112855: Process 21 fully executed.
112865: Process 22 entered processor.
116739: Process 22 fully executed.
116749: Process 23 entered processor.
118334: Process 23 fully executed.
118344: Process 24 entered processor.
126270: Process 24 fully executed.
126280: Process 25 entered processor.
134824: Process 25 fully executed.
134834: Process 26 entered processor.
136969: Process 26 fully executed.
136979: Process 27 entered processor.
141168: Process 27 fully executed.
141178: Process 28 entered processor.
151948: Process 28 fully executed.
151958: Process 29 entered processor.
153651: Process 29 fully executed.
153661: Process 30 entered processor.
159159: Process 30 fully executed.
159169: Process 31 entered processor.
165347: Process 31 fully executed.
165357: Process 32 entered processor.
175250: Process 32 fully executed.
175260: Process 33 entered processor.
179596: Process 33 fully executed.
179606: Process 34 entered processor.
184345: Process 34 fully executed.
184355: Process 35 entered processor.
188553: Process 35 fully executed.
188563: Process 36 entered processor.
194161: Process 36 fully executed.
194171: Process 37 entered processor.
199528: Process 37 fully executed.
199538: Process 38 entered processor.
206108: Process 38 fully executed.
206118: Process 39 entered processor.
207330: Process 39 fully executed.
207340: Process 40 entered processor.
212336: Process 40 fully executed.
212346: Process 41 entered processor.
221389: Process 41 fully executed.
221399: Process 42 entered processor.
228220: Process 42 fully executed.
228230: Process 43 entered processor.
234270: Process 43 fully executed.
234280: Process 44 entered processor.
238044: Process 44 fully executed.
238054: Process 45 entered processor.
243871: Process 45 fully executed.
243881: Process 46 entered processor.
252203: Process 46 fully executed.
252213: Process 47 entered processor.
254286: Process 47 fully executed.
254296: Process 48 entered processor.
257891: Process 48 fully executed.
257901: Process 49 entered processor.
264387: Process 49 fully executed.
264387: Process 49 entered processor.
