0: Process 0 arrived.
50: Process 1 arrived.
100: Process 2 arrived.
150: Process 3 arrived.
200: Process 4 arrived.
250: Process 5 arrived.
300: Process 6 arrived.
350: Process 7 arrived.
400: Process 8 arrived.
450: Process 9 arrived.
500: Process 10 arrived.
550: Process 11 arrived.
600: Process 12 arrived.
650: Process 13 arrived.
700: Process 14 arrived.
750: Process 15 arrived.
800: Process 16 arrived.
850: Process 17 arrived.
900: Process 18 arrived.
950: Process 19 arrived.
1000: Process 20 arrived.
1050: Process 21 arrived.
1100: Process 22 arrived.
1150: Process 23 arrived.
1200: Process 24 arrived.
1250: Process 25 arrived.
1300: Process 26 arrived.
1350: Process 27 arrived.
1400: Process 28 arrived.
1450: Process 29 arrived.
1500: Process 30 arrived.
1550: Process 31 arrived.
1600: Process 32 arrived.
1650: Process 33 arrived.
1700: Process 34 arrived.
1750: Process 35 arrived.
1800: Process 36 arrived.
1850: Process 37 arrived.
1900: Process 38 arrived.
1950: Process 39 arrived.
2000: Process 40 arrived.
2050: Process 41 arrived.
2100: Process 42 arrived.
2130: Process 11 fully executed.
2140: Process 4 entered processor.
2150: Process 44 arrived.
2170: Process 4 fully executed.
2180: Process 20 entered processor.
2200: Process 46 arrived.
2250: Process 47 arrived.
2300: Process 48 arrived.
2350: Process 49 arrived.
2400: Process 49 arrived.
2436: Process 7 fully executed.
2446: Process 20 entered processor.
2450: Process 49 arrived.
3695: Process 23 fully executed.
3705: Process 16 entered processor.
4445: Process 26 fully executed.
4455: Process 29 entered processor.
4594: Process 20 fully executed.
4604: Process 8 entered processor.
4995: Process 0 fully executed.
5005: Process 10 entered processor.
6148: Process 29 fully executed.
6158: Process 22 entered processor.
6577: Process 16 fully executed.
6587: Process 5 entered processor.
7280: Process 8 fully executed.
7290: Process 27 entered processor.
8207: Process 10 fully executed.
8217: Process 17 entered processor.
10032: Process 22 fully executed.
10042: Process 30 entered processor.
10171: Process 5 fully executed.
10181: Process 33 entered processor.
11479: Process 27 fully executed.
11489: Process 19 entered processor.
12504: Process 17 fully executed.
12514: Process 34 entered processor.
14517: Process 33 fully executed.
14527: Process 9 entered processor.
15540: Process 30 fully executed.
15550: Process 35 entered processor.
17068: Process 19 fully executed.
17078: Process 15 entered processor.
17253: Process 34 fully executed.
17263: Process 36 entered processor.
19748: Process 35 fully executed.
19758: Process 1 entered processor.
20159: Process 9 fully executed.
20169: Process 37 entered processor.
22861: Process 36 fully executed.
22871: Process 31 entered processor.
23125: Process 15 fully executed.
23135: Process 38 entered processor.
25388: Process 1 fully executed.
25398: Process 18 entered processor.
25526: Process 37 fully executed.
25536: Process 39 entered processor.
26748: Process 39 fully executed.
26758: Process 14 entered processor.
29049: Process 31 fully executed.
29059: Process 40 entered processor.
29705: Process 38 fully executed.
29715: Process 13 entered processor.
32155: Process 18 fully executed.
32165: Process 21 entered processor.
33580: Process 14 fully executed.
33590: Process 3 entered processor.
34055: Process 40 fully executed.
34065: Process 42 entered processor.
36702: Process 13 fully executed.
36712: Process 6 entered processor.
39173: Process 21 fully executed.
39183: Process 43 entered processor.
40748: Process 3 fully executed.
40758: Process 2 entered processor.
40886: Process 42 fully executed.
40896: Process 44 entered processor.
44131: Process 6 fully executed.
44141: Process 24 entered processor.
44660: Process 44 fully executed.
44670: Process 45 entered processor.
45223: Process 43 fully executed.
45233: Process 25 entered processor.
48275: Process 2 fully executed.
48285: Process 46 entered processor.
50487: Process 45 fully executed.
50497: Process 41 entered processor.
52067: Process 24 fully executed.
52077: Process 47 entered processor.
53777: Process 25 fully executed.
53787: Process 12 entered processor.
54150: Process 47 fully executed.
54160: Process 48 entered processor.
56607: Process 46 fully executed.
56617: Process 32 entered processor.
57755: Process 48 fully executed.
57765: Process 49 entered processor.
59540: Process 41 fully executed.
59550: Process 28 entered processor.
63576: Process 12 fully executed.
63576: Process 28 entered processor.
66510: Process 32 fully executed.
66510: Process 49 entered processor.
67175: Process 49 fully executed.
67175: Process 28 entered processor.
70320: Process 28 fully executed.
70320: Process 28 entered processor.
